input,normalized,correct_label,time_context,location_context
give some pickle,give some pickle,pickle,morning,home
i need some vcd,i need some vcd,avacado,afternoon,hospital
i want somerice,i want somerice,rice,afternoon,hospital
 want to sleep,want to sleep,sleep,evening,restaurant
can you bring my medicine,can you bring my medicine,medicine,evening,restaurant
there s the horse,there s the horse,horse,night,community
i want to sleep,i want to sleep,nap,midday,school
there is m frock,there is m frock,frock,evening,restaurant
i want to go t bed,i want to go t bed,bed,evening,restaurant
i want fud,i want fud,breakfast,morning,home
they are m friends,they are m friends,friends,midday,school
its so golde,its so golden,golden,night,community
how long,how long,how long,evening,restaurant
this s my brother,this s my brother,brother,afternoon,hospital
where ismy raincoat,where ismy raincoat,raincoat,afternoon,hospital
i feel tired,i feel tired,i feel tired,night,community
take me tobalcony,take me balcony,balcony,midday,school
nospitting please,spitting please,no spitting please,night,community
godo night,good night,good night,morning,home
lets go t the mall,lets go t the mall,mall,morning,home
happy ganesh chaturthi,happy ganesh chaturthi,ganesh chaturthi,night,community
draw aslanting line,draw slanting line,slanting line,evening,restaurant
do some salad dressing,do some salad dressing,salad dressing,midday,school
please shr,please shirt,please share,midday,school
give me some food,give me some food,food,morning,home
ts silver,its silver,silver,evening,restaurant
this ismy favorite book,this ismy favorite book,favorite book,morning,home
i want ice cream,i want ice cream,ice cream,night,community
makesome music,awesome music,make music,night,community
dd some masala,add some masala,masala,afternoon,hospital
i feel cold,i feel cold,shawl,afternoon,hospital
i want to sleep,i want to sleep,nap,morning,home
i want my bt,i want my bat,boot,night,community
i feel pain,i feel pain,doctor,afternoon,hospital
i want to sleep,i want to sleep,nap,morning,home
i want t play frisbee,i want t play frisbee,frisbee,morning,home
i like sports,i like sports,sports,night,community
happy labour day,happy labour day,labour day,midday,school
its pnik,its pink,pink,afternoon,hospital
i want to sleep,i want to sleep,rest,evening,restaurant
i want to sleep,i want to sleep,rest,evening,restaurant
take al the books,take dal the books,books,morning,home
giv me some pancakes,give me some pancakes,pancakes,afternoon,hospital
its my osap,its my soap,soap,midday,school
i want to eat,i want to eat,breakfast,morning,home
i feel pain,i feel pain,clinic,night,community
add some chilli flakes,add some chilli flakes,chilli flakes,afternoon,hospital
i wan to eat,i wan to eat,snack,afternoon,hospital
i want a drink,i want a drink,soda,night,community
can youroast beef,can roast beef,roast beef,morning,home
tkae me to gymnastics,take me to gymnastics,gymnastics,morning,home
i wan jalebi,i want jalebi,jalebi,night,community
i wan food,i wan food,tiffin,evening,restaurant
i am thirsty,i am thirsty,water,afternoon,hospital
i want to change,i want to change,change,morning,home
use pape clip,use paper clip,paper clip,midday,school
my stomahc aches,my stomach aches,stomach,night,community
ts an owl,its an owl,owl,afternoon,hospital
i wantblueberry,i blueberry,blueberry,night,community
ther is the lock and key,there is the lock and key,lock and key,morning,home
there is the gaot,there is the goat,goat,midday,school
happy dwl,happy dwl,diwali,night,community
go to the meet shop,go to the meet shop,meat shop,morning,home
give me celairs,give me eclairs,eclairs,midday,school
i wan a drink,i wan a drink,juice,midday,school
happy labour day,happy labour day,labour day,afternoon,hospital
how wasyour day,how wasyour day,how was your day,afternoon,hospital
giv me some curd,give me some curd,curd,afternoon,hospital
 like guava,like guava,guava,evening,restaurant
there isthe skiping rope,there the skiping rope,skipping rope,afternoon,hospital
where is the scssrs,where is the scissors,scissors,midday,school
its my lego,its my legos,legos,morning,home
my fingers,my fingers,fingers,morning,home
my ear,my ear,ears,evening,restaurant
i want to go in bike,i want to go in bike,bike,morning,home
take me to the shop,take me to the shop,shop,afternoon,hospital
happy birthday,happy birthday,father's birthday,midday,school
i want jlaebi,i want jalebi,jalebi,midday,school
its too cold,its too cold,cold,night,community
it?? bat,its bat,bat,night,community
give me bear,give me bear,bear,evening,restaurant
where is th pelican,where is the pelican,pelican,afternoon,hospital
can y change music,can y change music,change music,afternoon,hospital
i need some sabmhar,i need some sambhar,sambhar,midday,school
where is my spectacle,where is my spectacles,spectacles,evening,restaurant
i feel cold,i feel cold,shawl,afternoon,hospital
hv a good day,hv a good day,day,morning,home
i see birds,i see birds,birds,night,community
its a cueb,its a cube,cube,midday,school
i want to eat,i want to eat,tiffin,evening,restaurant
i am hungry,i am hungry,dinner,night,community
i feel cold,i feel cold,sweater,evening,restaurant
i want a drnk,i want a drnk,juice,midday,school
i wnt to watch handball,i want to watch handball,handball,afternoon,hospital
i feel cold,i feel cold,jacket,midday,school
i am hungry,i am hungry,dinner,night,community
i want a drink,i want a drink,juice,midday,school
i need medicine,i need medicine,syrup,night,community
there is a divider,there is a divider,divider,afternoon,hospital
strangers beware!,strangers- beware!,strangers- beware!,night,community
my hat,my hat,hat,afternoon,hospital
i don't undersatnd,i don't understand,i don't understand,night,community
i want a drink,i want a drink,water,morning,home
i want mango juice,i want mango juice,mango juice,evening,restaurant
i want brownie,i want brownie,brownie,evening,restaurant
happy birthday,happy birthday,grandpa's birthday,morning,home
i want to sleep,i want to sleep,rest,evening,restaurant
i want a drink,i want a drink,soda,night,community
i don't undersatnd,i don't understand,i don't understand,evening,restaurant
acn you read this for me,an you read this for me,read,afternoon,hospital
can you play with me,can you play with me,play with me,morning,home
where is my spectacles,where is my spectacles,spectacles,afternoon,hospital
hsall we go to playground,small we go to playground,playground,morning,home
i want brnvt,i want brnvt,bournvita,night,community
my elbow,my elbow,elbow,afternoon,hospital
take me to hospital,take me to hospital,hospital,morning,home
i love mnago,i love mango,mango,evening,restaurant
i wan to sleep,i wan to sleep,sleep,night,community
i wnt to wear shorts,i want to wear shorts,shorts,evening,restaurant
run,run,run,afternoon,hospital
i feel pain,i feel pain,sit,evening,restaurant
ru,run,run,midday,school
i want my gloves,i want my gloves,gloves,afternoon,hospital
iam done eating,am done eating,eating,morning,home
i want some grapes,i want some grapes,grapes,midday,school
gv me a cup,gve me a cup,cup,afternoon,hospital
 want aaloo poori,want aaloo poori,aaloo poori,afternoon,hospital
i have a emergency,i have a emergency,emergency,night,community
i want food,i want food,snack,afternoon,hospital
happy ne year,happy new year,new year,midday,school
tis my body,this my body,body,evening,restaurant
i wantcold coffee,i wantcold coffee,cold coffee,night,community
ther is a divider,there is a divider,divider,midday,school
take my dress,take my dress,dress,night,community
i wan to eat,i wan to eat,dinner,night,community
i need medicin,i need medicin,tablet,midday,school
i want some rotti,i want some rotti,roti,afternoon,hospital
i want cherry,i want cherry,cherry,midday,school
i want to request oyu,i want to request oyu,requests,night,community
thereis a bee,there's a bee,bee,midday,school
lets go in escalato,lets go in escalator,escalator,night,community
shall w play a puzzle,shall w play a puzzle,puzzle,evening,restaurant
i want to go snowboardin,i want to go snowboarding,snowboarding,evening,restaurant
i love mnago,i love mango,mango,morning,home
i wan to sleep,i wan to sleep,rest,evening,restaurant
my ankle aches,my ankle aches,ankle,morning,home
i want food,i want food,tiffin,evening,restaurant
 love chaat,love chaat,chaat,midday,school
tis my birthday,this my birthday,my birthday,evening,restaurant
what i the current time,what i the current time,current time,evening,restaurant
i want to ply seesasw,i want to play seesasw,see-saw,midday,school
i wan food,i wan food,snack,afternoon,hospital
i want to eat,i want to eat,snack,afternoon,hospital
can y comb my hair,can y comb my hair,comb hair,evening,restaurant
i wan ginger ale,i want ginger ale,ginger ale,evening,restaurant
it is 10 rupees,it is 10 rupees,inr 10,morning,home
add somemustard,add mustard,mustard,night,community
i feel cold,i feel cold,coat,night,community
make me banana milkshake,make me banana milkshake,banana milkshake,evening,restaurant
i want sheera,i want sheera,sheera,morning,home
ru,run,run,morning,home
giev me papaya,give me papaya,papaya,midday,school
its asquare,its square,square,evening,restaurant
hsall we go to playground,small we go to playground,playground,afternoon,hospital
its the school bsu,its the school bsu,school bus,evening,restaurant
i want to change my leggins,i want to change my leggins,change leggings,morning,home
i lk chicken wings,i lk chicken wings,chicken wings,evening,restaurant
i feel pain,i feel pain,rest,morning,home
go back,go back,back,morning,home
its abuffalo,its buffalo,buffalo,morning,home
i am hungry,i am hungry,lunch,midday,school
i want to sleep,i want to sleep,nap,midday,school
excuse me pls,excuse me pls,excuse me,morning,home
this is my chappals,this is my chappals,chappals,night,community
i am thirsty,i am thirsty,juice,evening,restaurant
make me sit in sofa,make me sit in sofa,sofa,midday,school
i want a drink,i want a drink,coca-cola,evening,restaurant
give me papay,give me papaya,papaya,morning,home
no pinchin please,no pinching please,no pinching please,morning,home
i am hungry,i am hungry,lunch,midday,school
shall we lpay cards,shall we play cards,playing cards,night,community
there i the eagle,there i the eagle,eagle,midday,school
i want to sleap,i want to sleap,nap,midday,school
i want a drink,i want a drink,water,afternoon,hospital
can you make me some scrambled eggs,can you make me some scrambled eggs,scrambled eggs,midday,school
i am hungry,i am hungry,breakfast,morning,home
myhead,head,head,afternoon,hospital
there is a lion,there is a lion,lion,afternoon,hospital
its a cockroach,its a cockroach,cockroach,night,community
i feel pain,i feel pain,sit,evening,restaurant
i want ice cream,i want ice cream,icecream,morning,home
where is my pants,where is my pants,pants,morning,home
blow my nose,blow my nose,blow nose,evening,restaurant
i want food,i want food,breakfast,morning,home
myhead,head,head,morning,home
i feel cold,i feel cold,sweater,evening,restaurant
good drama,good drama,drama,afternoon,hospital
i need mr time,i need mr time,i need more time,night,community
i want to lpay frisbee,i want to play frisbee,frisbee,afternoon,hospital
i want to watch football,i want to watch football,football,midday,school
i feel cold,i feel cold,sweater,evening,restaurant
i wan a drink,i wan a drink,coca-cola,evening,restaurant
it is my school notebook,it is my school notebook,school notebook,afternoon,hospital
give memaaza,give maaza,maaza,afternoon,hospital
higrandpa,grandpa,grandfather,evening,restaurant
i want cherry,i want cherry,cherry,night,community
m shoulder aches,m shoulder aches,shoulder,midday,school
can y change music,can y change music,change music,night,community
i watn to change my leggins,i what to change my leggins,change leggings,evening,restaurant
i need some cihkoo,i need some chikoo,chikoo,night,community
i wan to eat,i wan to eat,tiffin,evening,restaurant
i want to eat,i want to eat,breakfast,morning,home
i need medicin,i need medicin,syrup,evening,restaurant
there is th lock and key,there is the lock and key,lock and key,afternoon,hospital
beautiful coolrs,beautiful colors,colors,evening,restaurant
be safety,be safety,safety,morning,home
take me to bathroom,take me to bathroom,bathroom,night,community
give some ktchp,give some ketchup,ketchup,afternoon,hospital
giv some pickle,give some pickle,pickle,midday,school
there is an ant,there is an ant,ant,night,community
i wan to sleep,i wan to sleep,nap,morning,home
happy birthday,happy birthday,grandpa's birthday,night,community
where is my rrngs,where is my errings,earrings,morning,home
i wnt smoothie,i want smoothie,smoothie,evening,restaurant
i feel pain,i feel pain,clinic,night,community
i want dnout,i want donut,donut,afternoon,hospital
i am hungry,i am hungry,snack,afternoon,hospital
i am thirsty,i am thirsty,water,afternoon,hospital
 need more time,need more time,i need more time,afternoon,hospital
 like strawberry,like strawberry,strawberry,evening,restaurant
my kn,my kn,knee,morning,home
happy brthdy,happy birthday,brother's birthday,evening,restaurant
can you help m remove clothes,can you help m remove clothes,help remove clothes,afternoon,hospital
strngr,stranger,stranger,evening,restaurant
com lets dance,come lets dance,lets dance,night,community
i want to wear shrots,i want to wear shorts,shorts,morning,home
give mesome dips,give some dips,dips,night,community
i feel pain,i feel pain,clinic,night,community
its the elephant,its the elephant,elephant,afternoon,hospital
ts purple,its purple,purple,night,community
can you hel me remove clothes,can you hepl me remove clothes,help remove clothes,night,community
i wan to sleep,i wan to sleep,rest,evening,restaurant
i m all done,i m all done,i am all done,midday,school
can we plya indoor games,can we play indoor games,indoor games,afternoon,hospital
i wnat to change my frock,i what to change my frock,change frock,afternoon,hospital
i need more time,i need more time,i need more time,evening,restaurant
there s my frock,there s my frock,frock,evening,restaurant
can yo make me some scrambled eggs,can you make me some scrambled eggs,scrambled eggs,morning,home
i want shampoo,i want shampoo,shampoo,afternoon,hospital
it is black,it is black,black,midday,school
give me paint,give me paint,paint,night,community
goodevening,good evening,evening,afternoon,hospital
i seebirds,i birds,birds,night,community
there is the pig,there is the pig,pig,midday,school
giv me a granola bar,give me a granola bar,granola bar,morning,home
pu bandage,put bandage,bandage,night,community
i feel pain,i feel pain,doctor,afternoon,hospital
there is a monkey,there is a monkey,monkey,morning,home
i feel pain,i feel pain,sit,evening,restaurant
my mouth,my mouth,mouth,morning,home
i wan to sleep,i wan to sleep,sleep,night,community
i want fud,i want fud,dinner,night,community
i feel cold,i feel cold,blanket,morning,home
i want food,i want food,tiffin,evening,restaurant
i want t watch football,i want t watch football,football,night,community
give me bread,give me bread,bread,night,community
there is my frock,there is my frock,frock,evening,restaurant
it snowy,it snowy,snowy,night,community
microwave it,microwave it,microwave,midday,school
i wan food,i wan food,snack,afternoon,hospital
take all the books,take all the books,books,evening,restaurant
its red,its red,red,midday,school
mymouth,mouth,mouth,midday,school
ho much is it,how much is it,how much,night,community
take me to food court,take me to food court,food court,evening,restaurant
i want a drink,i want a drink,water,afternoon,hospital
i amin pain,i pain pain,i am in pain,morning,home
i want to change myt-shirt,i want to change t-shirt,change t-shirt,night,community
i want to ride bicycle,i want to ride bicycle,bicycle,morning,home
makeme sit in sofa,make sit in sofa,sofa,afternoon,hospital
put my body vest,put my body vest,body vests,night,community
"""please give me  dosa.""","""please give me dosa.""",dosa,evening,restaurant
there is an ant,there is an ant,ant,afternoon,hospital
i need some vcd,i need some vcd,avacado,evening,restaurant
ineed cold drinks,need cold drinks,cold drinks,night,community
i need cmptr,i need computer,computer,evening,restaurant
i want a drink,i want a drink,coca-cola,evening,restaurant
i want fud,i want fud,tiffin,evening,restaurant
i wan a drink,i wan a drink,soda,night,community
ths is my chappals,this is my chappals,chappals,night,community
"""gvie me water.""","""give me water.""",water,afternoon,hospital
i want a drink,i want a drink,juice,midday,school
give me salda,give me salsa,fruit salad,midday,school
 want to play scrabble,want to play scrabble,scrabble,evening,restaurant
i want food,i want food,snack,afternoon,hospital
give me flavoured milk,give me flavoured milk,flavoured milk,morning,home
its a dmnd,its a dmnd,diamond,evening,restaurant
i want t play with friend,i want t play with friend,play with friend,morning,home
i want to eat,i want to eat,tiffin,evening,restaurant
is this the standing line,is this the standing line,standing line,afternoon,hospital
go to the meetshop,go to the meat shop,meat shop,evening,restaurant
my mouth,my mouth,mouth,afternoon,hospital
i want to drw,i want to draw,draw,afternoon,hospital
i want manog milkshake,i want mango milkshake,mango milkshake,night,community
my neck,my neck,neck,evening,restaurant
i want a drink,i want a drink,water,morning,home
i a all done,i a all done,i am all done,morning,home
i want to eat,i want to eat,tiffin,evening,restaurant
i am thirsty,i am thirsty,water,morning,home
i want to change my footwear,i want to change my footwear,change footwear,morning,home
tell me a story,tell me a story,bed time story book,midday,school
siwtch on the air conditioner,switch on the air conditioner,air conditioner,morning,home
thr's the penguin,there's the penguin,penguin,afternoon,hospital
its awesome,its awesome,awesome!,night,community
 need sanitary napkins,need sanitary napkins,sanitary napkins,afternoon,hospital
i wan to eat,i wan to eat,snack,afternoon,hospital
i am thirsty,i am thirsty,water,afternoon,hospital
good evening,good evening,evening,afternoon,hospital
greatjob,great job!!!,great job!!!,midday,school
"""please giv me a dosa.""","""please give me a dosa.""",dosa,afternoon,hospital
there s the picture book,there s the picture book,picture book,evening,restaurant
i like abrfi,i like barfi,barfi,evening,restaurant
take me to relatives house,take me to relatives house,relative's house,evening,restaurant
no inappropriate touch pleas,no inappropriate touch please,no inappropriate touch please,afternoon,hospital
hwo do you do,hwo do you do,how do you do,afternoon,hospital
itsspring time,spring time,spring,afternoon,hospital
i wnat my jacket,i what my jacket,jacket,morning,home
itssilver,silver,silver,afternoon,hospital
mk some porridge,mk some porridge,porridge,midday,school
i haveallergy,i allergy,allergy,midday,school
take my drawnig book,take my drawing book,drawing book,afternoon,hospital
i feel cold,i feel cold,blanket,morning,home
i feel cold,i feel cold,coat,night,community
i am hungry,i am hungry,tiffin,evening,restaurant
i want my jacket,i want my jacket,jacket,afternoon,hospital
i am hungry,i am hungry,tiffin,evening,restaurant
give me some pancakes,give me some pancakes,pancakes,evening,restaurant
omelette pls,omelette pls,omelette,night,community
take me t canteen,take me t canteen,canteen,morning,home
give me brea,give me break,bread,morning,home
add more sause,add more sause,sauce,afternoon,hospital
hwere is the pencil lead,here is the pencil lead,pencil lead,evening,restaurant
i want blueberry,i want blueberry,blueberry,night,community
i seebirds,i birds,birds,midday,school
i want to chang my t-shirt,i want to change my t-shirt,change t-shirt,morning,home
i am hungry,i am hungry,lunch,midday,school
add smoe chilli,add some chilli,chilli,morning,home
i am thirsty,i am thirsty,water,afternoon,hospital
happy halloween,happy halloween,halloween,afternoon,hospital
no hitting please,no hitting please,no hitting please,night,community
"""give mewater.""","""give water.""",water,night,community
i feel pain,i feel pain,sit,evening,restaurant
i want fud,i want fud,snack,afternoon,hospital
i liketo play chess,i like play chess,chess,evening,restaurant
give me some eggs,give me some eggs,eggs,night,community
i watn to go to bed,i what to go to bed,bed,midday,school
itsa snake,its snake,snake,afternoon,hospital
helol,hello,hello,midday,school
hw,how,how,night,community
give my pillows,give my pillows,pillows,evening,restaurant
addsome butter,addsome butter,butter,midday,school
i feel pain,i feel pain,clinic,night,community
i have flngs,i have feelings,feelings,evening,restaurant
i feel cold,i feel cold,sweater,evening,restaurant
i wnt to wear watch,i want to wear watch,watch,afternoon,hospital
 need more time,need more time,i need more time,evening,restaurant
gv me paint,gve me paint,paint,morning,home
i want fud,i want fud,snack,afternoon,hospital
i lv sausage,i lv sausage,sausage,evening,restaurant
ho many,how many,how many,night,community
plaese,please,please,night,community
i wantstapler,i stapler,stapler,afternoon,hospital
give mesome chutney,give some chutney,chutney,morning,home
i am sa,i am sad,sad,midday,school
this is my cousin,this is my cousin,cousin,morning,home
i am hungry,i am hungry,snack,afternoon,hospital
i am hungry,i am hungry,breakfast,morning,home
i need medicine,i need medicine,capsule,afternoon,hospital
i am hungry,i am hungry,snack,afternoon,hospital
i love cheese sticks,i love cheese sticks,cheese sticks,afternoon,hospital
give me some foo,give me some food,food,afternoon,hospital
i wnt to change my socks,i want to change my socks,change socks,night,community
'm irritated,i'm irritated,irritated,night,community
i want to do some exercise,i want to do some exercise,exercises,night,community
i awnt some snacks,i ant some snacks,snacks,night,community
i want t play scrabble,i want t play scrabble,scrabble,morning,home
can you roast beef,can you roast beef,roast beef,evening,restaurant
happybirthday,birthday,birthdays,midday,school
i wan a drink,i wan a drink,juice,midday,school
"""please give me a dosa.""","""please give me a dosa.""",kabab,midday,school
it is 500 rupee,it is 500 rupees,inr 500,afternoon,hospital
this is my brother,this is my brother,brother,midday,school
blow my ns,blow my ns,blow nose,evening,restaurant
i wan a drink,i wan a drink,coca-cola,evening,restaurant
iwant coca-cola,want coca-cola,coca-cola,evening,restaurant
my hip,my hip,hip,evening,restaurant
i wan to eat,i wan to eat,breakfast,morning,home
i want to watch cricket,i want to watch cricket,cricket,afternoon,hospital
i am thirsty,i am thirsty,soda,night,community
i want fud,i want fud,tiffin,evening,restaurant
i want to sleap,i want to sleap,rest,evening,restaurant
i need medicine,i need medicine,tablet,morning,home
i wan to sleep,i wan to sleep,nap,morning,home
happ birthday,happy birthday,brother's birthday,morning,home
canyou repeat that question,canyou repeat that question,questions,afternoon,hospital
there is thesheep,there is these,sheep,night,community
iam amazed,am amazed,amazed,evening,restaurant
i want to eat,i want to eat,tiffin,evening,restaurant
there is the sheep,there is the sheep,sheep,midday,school
give mebear,give bear,bear,midday,school
can you hepl me do this,can you hepl me do this,help me do this,evening,restaurant
where i my pants,where i my pants,pants,evening,restaurant
its in ou living room,its in you living room,living room,midday,school
its a cucko,its a cuckoo,cuckoo,afternoon,hospital
i want a drink,i want a drink,water,afternoon,hospital
put bandage,put bandage,bandage,afternoon,hospital
is htis the standing line,is this the standing line,standing line,midday,school
i want somepear,i want somepear,pear,evening,restaurant
there is th dove,there is the dove,dove,afternoon,hospital
i want a soft toy,i want a soft toy,soft toy,afternoon,hospital
i want to eat,i want to eat,snack,afternoon,hospital
ths hurts,this hurts,hurt,night,community
happy birthda,happy birthday,grandpa's birthday,midday,school
thr are some blocks,there are some blocks,blocks,afternoon,hospital
i want to wear socks,i want to wear socks,socks,afternoon,hospital
this i my house,this i my house,my house,midday,school
give some piclke,give some pickle,pickle,midday,school
i want to sleep,i want to sleep,nap,morning,home
there is a biosn,there is a bison,bison,midday,school
i wantto change my footwear,i want change my footwear,change footwear,morning,home
i lovesausage,i sausage,sausage,afternoon,hospital
hi-five,hi-five,hi-five,afternoon,hospital
ilove khichidi,love khichidi,khichdi,evening,restaurant
 want to play frisbee,want to play frisbee,frisbee,evening,restaurant
i want to wear salwarkameez,i want to wear salwar kameez,salwar kameez,afternoon,hospital
i want to sleap,i want to sleap,nap,midday,school
i want to sleep,i want to sleep,rest,evening,restaurant
i have a bde time routine,i have a be time routine,bed time routine,midday,school
there s my frock,there s my frock,frock,night,community
i want fud,i want fud,lunch,midday,school
where is th muffin,where is the muffin,muffin,night,community
i want a drink,i want a drink,juice,midday,school
i want food,i want food,tiffin,evening,restaurant
i see the cwo,i see the cwo,cow,midday,school
i ilke bracelet,i milk bracelet,bracelet,evening,restaurant
i want a raost pork,i want a roast pork,roast pork,evening,restaurant
give m fork,give m fork,fork,midday,school
where s the scissors,where s the scissors,scissors,evening,restaurant
lets g to fruit shop,lets g to fruit shop,fruit shop,afternoon,hospital
i feel pain,i feel pain,sit,evening,restaurant
i want food,i want food,snack,afternoon,hospital
where is the scssrs,where is the scissors,scissors,afternoon,hospital
tis a snake,this a snake,snake,midday,school
 love chaat,love chaat,chaat,afternoon,hospital
iam bored,am bored,bored,midday,school
mk me a protien shake,mk me a protien shake,protien shake,night,community
siwtch on the air conditioner,switch on the air conditioner,air conditioner,evening,restaurant
i am sa,i am sad,sad,afternoon,hospital
i want pizz,i want pizza,pizza,night,community
can we lpay indoor games,can we play indoor games,indoor games,midday,school
helol,hello,hello,afternoon,hospital
i need achalk,i need chalk,chalk,afternoon,hospital
i want a drink,i want a drink,soda,night,community
my hair,my hair,hair,evening,restaurant
i haveallergy,i allergy,allergy,morning,home
thi is brown,this is brown,brown,morning,home
i wantpudding,i pudding,pudding,midday,school
makeme sit in sofa,make sit in sofa,sofa,morning,home
i fee tired,i feel tired,i feel tired,night,community
i need medicin,i need medicin,syrup,evening,restaurant
i want a drink,i want a drink,soda,night,community
n talking while eating please!,n talking while eating please!,no talking while eating please!,morning,home
i want fud,i want fud,lunch,midday,school
crumbl it,crumble it,crumble,afternoon,hospital
takeme to hospital,take to hospital,hospital,midday,school
i was pinche,i was pinched,i was pinched,evening,restaurant
i am hungry,i am hungry,lunch,midday,school
iam happy,am happy,happy,midday,school
i want to request yuo,i want to request yuo,requests,evening,restaurant
i want to ride bicycle,i want to ride bicycle,bicycle,night,community
these are my favourites,these are my favourites,favourites,night,community
ther is a divider,there is a divider,divider,night,community
crumbel it,crumble it,crumble,night,community
where is my raincoat,where is my raincoat,raincoat,afternoon,hospital
i wnt to change my frock,i want to change my frock,change frock,morning,home
noodle pls,noodles pls,noodles,afternoon,hospital
i am thirsty,i am thirsty,soda,night,community
i lk to play chess,i lk to play chess,chess,midday,school
give me some biscui,give me some biscuit,biscuits,afternoon,hospital
i wnt to change my socks,i want to change my socks,change socks,afternoon,hospital
i want mashed potatoes,i want mashed potatoes,mashed potatoes,midday,school
i want a drink,i want a drink,soda,night,community
its a buffal,its a buffalo,buffalo,afternoon,hospital
i loev mango,i love mango,mango,midday,school
good friday,good friday,good friday,night,community
i want to sleap,i want to sleap,rest,evening,restaurant
its a rainy day,its a rainy day,rainy,afternoon,hospital
give m fish and chips,give m fish and chips,fish and chips,night,community
its th green light,its the green light,green light- go,night,community
i want a drnk,i want a drnk,water,afternoon,hospital
there s my frock,there s my frock,frock,morning,home
where is my spectacles,where is my spectacles,spectacles,evening,restaurant
whatis the current season,what the current season,current season,night,community
give me papay,give me papaya,papaya,midday,school
give my pillows,give my pillows,pillows,morning,home
its italian,its italian,italian,midday,school
i am thirsty,i am thirsty,water,afternoon,hospital
i wan hamburger,i want hamburger,hamburger,afternoon,hospital
i want food,i want food,breakfast,morning,home
how are you,how are you,how are you,afternoon,hospital
shall we play a puzzle,shall we play a puzzle,puzzle,afternoon,hospital
its the green light,its the green light,green light- go,evening,restaurant
i want myscarf,i want scarf,scarf,evening,restaurant
my neck,my neck,neck,afternoon,hospital
i want to see nurse,i want to see nurse,nurse,evening,restaurant
its a crow,its a crow,crow,night,community
i want to change,i want to change,change,afternoon,hospital
i am hungry,i am hungry,snack,afternoon,hospital
take me to bedroo,take me to bedroom,bedroom,night,community
i wan to eat,i wan to eat,breakfast,morning,home
its on the edsk,its on the desk,desk,afternoon,hospital
where is the pencil lead,where is the pencil lead,pencil lead,evening,restaurant
i want cff,i want cff,coffee,evening,restaurant
no talking whil eating please!,no talking while eating please!,no talking while eating please!,afternoon,hospital
i feel pain,i feel pain,clinic,night,community
i wnt to wear shorts,i want to wear shorts,shorts,night,community
good frdy,good friday,good friday,afternoon,hospital
i need medicine,i need medicine,tablet,morning,home
i wan miranda,i want miranda,mirinda,night,community
i want a drink,i want a drink,soda,night,community
i need medicin,i need medicin,syrup,night,community
i want shampoo,i want shampoo,shampoo,evening,restaurant
shall weplay a puzzle,shall play a puzzle,puzzle,night,community
i want to sleap,i want to sleap,nap,midday,school
put my body vest,put my body vest,body vests,midday,school
catch-cathc,catch-catch,catch-catch,midday,school
i want to request oyu,i want to request oyu,requests,evening,restaurant
i want food,i want food,dinner,night,community
give me apple juice,give me apple juice,apple juice,morning,home
i wan a drink,i wan a drink,soda,night,community
take my drawing book,take my drawing book,drawing book,midday,school
i need medicin,i need medicin,tablet,morning,home
my shoulder aches,my shoulder aches,shoulder,night,community
rosogulla is s tasty,rosogulla is s tasty,rosogulla,afternoon,hospital
can y cut my nails,can y cut my nails,cut nails,afternoon,hospital
i want to chang my t-shirt,i want to change my t-shirt,change t-shirt,night,community
gvie me fork,gve me fork,fork,night,community
i want a drnk,i want a drnk,water,afternoon,hospital
i awnt honey,i ant honey,honey,evening,restaurant
its an wl,its an owl,owl,midday,school
i want food,i want food,tiffin,evening,restaurant
i want a soft ty,i want a soft toy,soft toy,afternoon,hospital
i wnt hot chocolate,i want hot chocolate,hot chocolate,night,community
its snwoy,its snowy,snowy,midday,school
there is a divdier,there is a divider,divider,morning,home
take me to stffrm,take me to staffroom,staffroom,evening,restaurant
i want otameal,i want oatmeal,oatmeal,afternoon,hospital
no pickin nose please,no picking nose please,no picking nose please,midday,school
mosquit bites,mosquito bites,mosquito,afternoon,hospital
where i my pants,where i my pants,pants,midday,school
grnd it,grind it,grinder,morning,home
hello aunty,hello aunty,aunt,night,community
i have feelings,i have feelings,feelings,afternoon,hospital
i want to sleep,i want to sleep,nap,afternoon,hospital
i wnat coca-cola,i what coca-cola,coca-cola,evening,restaurant
i love bowling,i love bowling,bowling,evening,restaurant
i want a roast pork,i want a roast pork,roast pork,morning,home
i want smoothie,i want smoothie,smoothie,midday,school
its my habit,its my habit,habits,night,community
i wnat to bathe,i what to bathe,bathing,afternoon,hospital
omelette psl,omelette psl,omelette,afternoon,hospital
its ver hazards,its very hazards,hazards,morning,home
shall we go t playground,shall we go t playground,playground,afternoon,hospital
i wan to sleep,i wan to sleep,sleep,night,community
i wnt honey,i want honey,honey,midday,school
happy birthday,happy birthday,birthdays,morning,home
take me to canteen,take me to canteen,canteen,afternoon,hospital
happybirthday,birthday,father's birthday,afternoon,hospital
it is 500rupees,it is rupees,inr 500,night,community
i wan to eat,i wan to eat,snack,afternoon,hospital
i want food,i want food,dinner,night,community
i have feelings,i have feelings,feelings,evening,restaurant
i feel cold,i feel cold,jacket,midday,school
i wan a drink,i wan a drink,soda,night,community
i want to sleep,i want to sleep,nap,morning,home
i like cheese,i like cheese,cheese,afternoon,hospital
i want fud,i want fud,tiffin,evening,restaurant
noodle pls,noodles pls,noodles,morning,home
i wan food,i wan food,tiffin,evening,restaurant
